entry,expiry,spot_in,spot_out,condor_credit,condor_pnl,lottery_pnl
2023-02-24,2023-03-02,17466,17322,133.13,9.33,-0.86
2023-03-03,2023-03-09,17594,17590,139.91,81.39,-2.85
2023-03-10,2023-03-16,17413,16986,142.45,-57.49,-2.72
2023-03-17,2023-03-23,17100,17077,143.46,79.22,-2.77
2023-03-24,2023-04-06,16945,17599,159.57,-40.42,
2023-03-31,2023-04-06,17360,17599,148.8,-35.91,-5.48
2023-04-21,2023-04-27,17624,17915,128.51,-70.9,-0.48
2023-04-28,2023-05-04,18065,18256,123.74,-57.67,-0.22
2023-05-05,2023-05-11,18069,18297,124.32,-69.78,-0.25
2023-05-12,2023-05-18,18315,18130,125.58,-32.92,-0.29
2023-05-19,2023-05-25,18203,18321,127.13,6.2,-0.33
2023-05-26,2023-06-01,18499,18488,131.27,80.67,-1.11
2023-06-02,2023-06-08,18534,18635,119.43,31.37,-0.18
2023-06-09,2023-06-15,18563,18688,120.02,-16.65,-0.12
2023-06-16,2023-06-22,18826,18771,115.89,36.43,-0.09
2023-06-23,2023-07-05,18666,19398,136.92,-63.07,196.88
2023-06-30,2023-07-06,19189,19497,124.62,-74.41,-0.42
2023-07-07,2023-07-13,19332,19414,129.47,55.46,-0.72
2023-07-14,2023-07-20,19564,19979,129.71,-70.27,-0.54
2023-07-21,2023-07-27,19745,19660,136.63,43.34,-2.01
2023-07-28,2023-08-03,19646,19382,131.6,-63.87,-1.12
2023-08-04,2023-08-10,19517,19543,136.84,71.25,-1.42
2023-08-11,2023-08-17,19428,19365,135.84,46.73,-1.53
2023-08-18,2023-08-24,19310,19387,128.52,37.22,-0.43
2023-08-25,2023-08-31,19266,19254,121.98,79.39,-0.17
2023-09-01,2023-09-07,19435,19727,116.62,-82.08,-0.12
2023-09-08,2023-09-14,19820,20103,117.9,-81.76,-0.09
2023-09-15,2023-09-21,20192,19742,112.76,-87.22,-0.08
2023-09-22,2023-09-28,19674,19524,132.93,10.61,-0.89
2023-09-29,2023-10-05,19638,19546,134.59,30.64,-1.48
2023-10-06,2023-10-12,19654,19794,135.52,-2.82,-1.07
2023-10-13,2023-10-19,19751,19625,136.38,15.36,-1.17
2023-10-20,2023-10-26,19543,18857,129.22,-70.76,-0.81
2023-10-27,2023-11-02,19047,19133,145.39,50.98,-5.27
2023-11-03,2023-11-09,19231,19395,145.07,8.46,-4.44
2023-11-10,2023-11-16,19425,19765,142.6,-55.11,-3.23
2023-11-17,2023-11-23,19732,19802,146.44,68.13,-5.21
2023-11-24,2023-11-30,19795,20133,122.69,-77.16,-0.35
2023-12-01,2023-12-07,20268,20901,119.17,-80.82,101.04
2023-12-08,2023-12-14,20969,21183,138.36,-47.39,-1.75
2023-12-15,2023-12-21,21457,21255,143.66,-22.2,-3.03
2023-12-22,2023-12-28,21349,21779,151.0,-48.79,-9.45
2023-12-29,2024-01-04,21731,21659,152.01,51.13,-9.27
2024-01-05,2024-01-11,21711,21647,146.27,69.75,-4.22
2024-01-12,2024-01-18,21895,21462,148.4,-51.51,-7.1
2024-01-19,2024-01-25,21622,21353,154.05,-26.51,-10.4
2024-02-02,2024-02-08,21854,21718,164.43,37.28,
